exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,comm_tar,comm_est,pid_kp,pid_ki,pid_kd,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.002437406,0.5,6085.4,37,0.2244,32.5625,34.1875,36.73,0,0,0.25,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6522,0.05090463,0.02023919,3690,0.049864499,0.037940379,2285,0.024070022,0,0,0,0,0,5,2
60.25,0.012057257,0.5,6085.4,37,0.19135,32.4375,34.25,36.63,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6493,0.051131988,0.01986755,3679,0.050013591,0.037510193,2291,0.024006984,0,0,0,0,0,5,2
120.32,-0.002004724,0.5,6085.4,37,0.16485,32.4375,34.25,36.89,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6520,0.05107362,0.020245399,3681,0.049986417,0.038848139,2277,0.023715415,0,0,0,0,0,5,2
180.38,0.000974903,0.5,6085.4,37,0.16275,32.5625,34.1875,36.81,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6512,0.05036855,0.020116708,3716,0.050053821,0.038213132,2283,0.024091108,0,0,0,0,0,5,2
240.45,-0.005583481,0.5,6085.4,37,0.13065,32.5,34.1875,37.11,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6532,0.050979792,0.019595836,3685,0.050474898,0.03880597,2283,0.024529128,0,0,0,0,0,5,2
300.49,-0.001025166,0.5,6085.4,37,0.2374,32.5,34.25,36.69,0,0,0.25,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6568,0.050091352,0.019488429,3734,0.049812533,0.039100161,2285,0.023632385,0,0,0,0,0,5,2
360.53,0.007816054,0.5,6085.4,37,0.12545,32.375,34.3125,37.13,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6526,0.051026663,0.020073552,3673,0.049006262,0.037571467,2282,0.024539877,0,0,0,0,0,5,2
420.58,0.004526353,0.5,6085.4,37,0.12835,32.375,34.3125,36.97,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6529,0.050696891,0.019758003,3683,0.049959272,0.037469454,2289,0.024464832,0,0,0,0,0,5,0.261209753
480.65,-0.003632339,0.5,6085.4,37,0.14475,32.4375,34.3125,37.03,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6521,0.050452385,0.019935593,3717,0.050309389,0.037664783,2287,0.023611718,0,0,0,0,0,5,0.261209753
540.71,-0.004951937,0.5,6085.4,37,0.17885,32.4375,34.3125,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6546,0.050259701,0.019859456,3726,0.050724638,0.038915727,2296,0.023954704,0,0,0,0,0,5,0.261209753
600.75,-0.001457143,0.5,6085.4,37,0.2294,32.4375,34.3125,36.71,0,0,0.25,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6548,0.050549786,0.019547954,3702,0.050243112,0.039438142,2281,0.024112231,0,0,0,0,0,5,0.261209753
660.81,0.000445165,0.5,6085.4,37,0.13305,32.375,34.375,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6502,0.051061212,0.020147647,3674,0.050626021,0.039466522,2270,0.024669604,0,0,0,0,0,5,0.261209753
720.88,-0.003861623,0.5,6085.4,37,0.15095,32.375,34.4375,36.79,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6543,0.05043558,0.019715727,3713,0.050094263,0.03905198,2284,0.02408056,0,0,0,0,0,5,0.261209753
780.94,0.007487346,0.5,6085.4,37,0.14715,32.375,34.375,36.97,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6524,0.050889025,0.020079706,3674,0.049809472,0.039194339,2294,0.023539669,0,0,0,0,0,5,0.261209753
841.01,-0.007817953,0.5,6085.4,37,0.11705,32.4375,34.4375,36.87,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6540,0.050458716,0.019724771,3714,0.049273021,0.039579968,2296,0.022212544,0,0,0,0,0,5,0.261209753
901.07,0.014892097,0.5,6085.4,37,0.11905,32.3125,34.375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6485,0.051040864,0.019892059,3670,0.049318801,0.039237057,2287,0.024048972,0,0,0,0,0,5,0.261209753
961.15,-0.003199587,0.5,6085.4,37,0.16705,32.4375,34.375,36.87,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6534,0.050505051,0.019895929,3711,0.05039073,0.039073026,2281,0.024550636,0,0,0,0,0,5,0.261209753
1021.18,-0.008462009,0.5,6085.4,37,0.17945,32.375,34.375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6530,0.04992343,0.019601838,3708,0.049892125,0.039374326,2296,0.023519164,0,0,0,0,0,5,0.261209753
1081.25,-0.000687005,0.5,6085.4,37,0.18155,32.4375,34.375,37.03,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6547,0.04994654,0.019703681,3708,0.049892125,0.039374326,2294,0.023103749,0,0,0,0,0,5,0.261209753
1141.33,0.019559626,0.5,6085.4,37,0.14005,32.4375,34.375,36.79,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6651,0.050819426,0.019996993,3744,0.050213675,0.038995726,2339,0.023941855,0,0,0,0,0,5,0.261209753
1201.37,0.015461535,0.5,6085.4,37,0.14265,32.4375,34.375,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6665,0.050112528,0.019804951,3787,0.049115395,0.039609189,2338,0.02352438,0,0,0,0,0,5,-0.457187421
1261.42,0.009047664,0.5,6085.4,37,0.13495,32.4375,34.375,36.85,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6723,0.049977689,0.019634092,3782,0.048915918,0.037546272,2354,0.022514868,0,0,0,0,0,5,-2.041874286
1321.46,0.014471749,0.5,6085.4,37,0.18355,32.5,34.5,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6699,0.050007464,0.019704433,3781,0.050251256,0.039407564,2335,0.024411135,0,0,0,0,0,5,-0.530705149
1381.51,0.011105396,0.5,6085.4,37,0.19885,32.5,34.5,36.77,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6700,0.05,0.02,3785,0.050198151,0.039365918,2360,0.023728814,0,0,0,0,0,5,-1.298471812
1441.55,0.02386203,0.5,6085.4,37,0.19065,32.5625,34.5,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6683,0.050426455,0.019153075,3739,0.050548275,0.03824552,2325,0.024516129,0,0,0,0,0,5,1.061023944
1501.58,0.0179438,0.5,6085.4,37,0.16265,32.5,34.5,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6711,0.049918045,0.018924154,3774,0.04981452,0.040010599,2360,0.024152542,0,0,0,0,0,5,0.152841256
1561.62,0.011193361,0.5,6085.4,37,0.10615,32.5625,34.5625,37.05,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6640,0.049849398,0.019427711,3759,0.050013301,0.039372173,2320,0.024568966,0,0,0,0,0,5,-1.270572338
1621.66,0.012358858,0.5,6085.4,37,0.19735,32.625,34.5625,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6694,0.050044816,0.019270989,3770,0.05066313,0.038992042,2348,0.02427598,0,0,0,0,0,5,-0.909886955
1681.73,0.019277608,0.5,6085.4,37,0.16005,32.5625,34.5,37.09,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6706,0.049806144,0.019534745,3777,0.050039714,0.039449298,2340,0.025641026,0,0,0,0,0,5,0.469320884
1741.77,0.012493118,0.5,6085.4,37,0.15795,32.5625,34.5,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6690,0.049775785,0.019581465,3784,0.050211416,0.03858351,2354,0.024214104,0,0,0,0,0,5,-0.855443953
1801.85,0.024301622,0.5,6085.4,37,0.16205,32.5625,34.5625,36.79,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6694,0.049895429,0.019868539,3741,0.050521251,0.039561615,2325,0.024516129,0,0,0,0,0,5,1.18342362
1861.92,0.016071258,0.5,6085.4,37,0.14615,32.5625,34.5625,36.93,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6709,0.050380086,0.01952601,3785,0.050462351,0.038837517,2348,0.024701874,0,0,0,0,0,5,-0.116279521
1921.97,0.017198552,0.5,6085.4,37,0.16295,32.5625,34.5625,36.93,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6658,0.050615801,0.020126164,3749,0.049879968,0.038943718,2342,0.023911187,0,0,0,0,0,5,0.092912678
1982.08,0.017240598,0.5,6085.4,37,0.14735,32.5625,34.5625,37.09,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6682,0.049835379,0.019006286,3782,0.049973559,0.037810682,2342,0.024338173,0,0,0,0,0,5,0.09559229
2042.15,0.012962976,0.5,6085.4,37,0.12675,32.5,34.5625,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6688,0.04979067,0.019736842,3787,0.05017164,0.039345128,2349,0.024691358,0,0,0,0,0,5,-0.764696139
2102.22,0.021162127,0.5,6085.4,37,0.18535,32.5625,34.5,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6723,0.050126432,0.019485349,3765,0.049667995,0.03877822,2334,0.023993145,0,0,0,0,0,5,0.743886108
2162.28,0.019949,0.5,6085.4,37,0.12705,32.5,34.4375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6700,0.050447761,0.02,3770,0.050397878,0.038461538,2341,0.023921401,0,0,0,0,0,5,0.52958941
2222.33,0.013024661,0.5,6085.4,37,0.12525,32.5625,34.5,36.93,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6684,0.049970078,0.019000598,3791,0.04985492,0.039303614,2341,0.024348569,0,0,0,0,0,5,-0.77589349
2282.4,0.02112654,0.5,6085.4,37,0.13285,32.5625,34.4375,36.87,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6732,0.050356506,0.019607843,3762,0.050239234,0.03774588,2338,0.024379812,0,0,0,0,0,5,0.713957863
2342.47,0.026774073,0.5,6085.4,37,0.14345,32.4375,34.375,36.79,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6683,0.049977555,0.019901242,3773,0.049827723,0.03922608,2346,0.024722933,0,0,0,0,0,5,1.388971719
2402.52,0.025142576,0.5,6085.4,37,0.17845,32.5625,34.375,36.85,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6738,0.050311665,0.019293559,3796,0.050316122,0.038988409,2359,0.024162781,0,0,0,0,0,5,1.130909113
2462.58,0.021094627,0.5,6085.4,37,0.13755,32.5,34.3125,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6712,0.050208582,0.019815256,3772,0.050371156,0.039236479,2363,0.02454507,0,0,0,0,0,5,0.547730706
2522.63,0.018513398,0.5,6085.4,37,0.17995,32.5,34.3125,36.93,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6744,0.049970344,0.019869514,3792,0.050369198,0.038238397,2359,0.022891056,0,0,0,0,0,5,0.128773159
2582.67,0.027079154,0.5,6085.4,37,0.15375,32.4375,34.375,37.05,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6709,0.050678193,0.01997317,3735,0.050870147,0.038554217,2356,0.025042445,0,0,0,0,0,5,1.263143072
2642.73,0.022375973,0.5,6085.4,37,0.17785,32.375,34.3125,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6701,0.050887927,0.020295478,3731,0.050924685,0.038327526,2341,0.023067065,0,0,0,0,0,5,0.627656635
2702.76,0.013124844,0.5,6085.4,37,0.14135,32.5,34.375,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6708,0.050089445,0.019379845,3799,0.050013161,0.038167939,2351,0.024670353,0,0,0,0,0,5,-1.004168847
2762.8,0.02238088,0.5,6085.4,37,0.12045,32.5,34.375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6731,0.050215421,0.019759323,3802,0.050236718,0.039715939,2376,0.02483165,0,0,0,0,0,5,0.647139977
2822.87,0.017042239,0.5,6085.4,37,0.12015,32.5,34.375,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6762,0.049985211,0.019668737,3801,0.050513023,0.038410944,2363,0.024968261,0,0,0,0,0,5,-0.20275325
2882.92,0.018473821,0.5,6085.4,37,0.17285,32.5,34.375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6743,0.049384547,0.019427555,3798,0.050816219,0.037914692,2351,0.024670353,0,0,0,0,0,5,0.049363534
2942.98,0.029002714,0.5,6085.4,37,0.15905,32.5,34.4375,37.03,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6703,0.050425183,0.019543488,3783,0.050224689,0.03912239,2352,0.024234694,0,0,0,0,0,5,1.399999631
3003.06,0.019898404,0.5,6085.4,37,0.17735,32.4375,34.4375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6763,0.04953423,0.019665829,3820,0.05026178,0.039528796,2363,0.022852306,0,0,0,0,0,5,0.199749991
3063.13,0.01680356,0.5,6085.4,37,0.14235,32.5625,34.5,37.03,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6761,0.049992605,0.019227925,3802,0.049973698,0.038926881,2365,0.02410148,0,0,0,0,0,5,-0.317383735
3123.19,0.027384633,0.5,6085.4,37,0.12115,32.625,34.5,37.01,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6770,0.049778434,0.019350074,3809,0.050144395,0.038855343,2369,0.024482904,0,0,0,0,0,5,1.163659155
3183.23,0.020274148,0.5,6085.4,37,0.14025,32.5625,34.5,36.73,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6788,0.049499116,0.0195934,3808,0.049894958,0.039653361,2369,0.022794428,0,0,0,0,0,5,0.203569853
3243.3,0.021107785,0.5,6085.4,37,0.13675,32.625,34.4375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6779,0.049859861,0.019324384,3813,0.050354052,0.039339103,2372,0.024451939,0,0,0,0,0,5,0.314277455
3303.37,0.025390928,0.5,6085.4,37,0.11995,32.5625,34.4375,37.01,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6817,0.049435235,0.019510048,3823,0.049960764,0.037666754,2394,0.024644946,0,0,0,0,0,5,0.852813609
3363.41,0.022109967,0.5,6085.4,37,0.22475,32.625,34.375,36.87,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6789,0.049491825,0.019443217,3813,0.050091791,0.039339103,2394,0.023809524,0,0,0,0,0,5,0.39508263
3423.45,0.019482183,0.5,6085.4,37,0.07525,32.5625,34.4375,37.03,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6798,0.049720506,0.019564578,3821,0.050248626,0.039518451,2370,0.024472574,0,0,0,0,0,5,-0.004255987
3483.49,0.026811276,0.5,6085.4,37,0.12105,32.5625,34.375,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6774,0.049896664,0.019043401,3833,0.050352205,0.039133838,2390,0.025104603,0,0,0,0,0,5,0.953923412
3543.57,0.025638751,0.5,6085.4,37,0.19345,32.5625,34.3125,37.01,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6806,0.049662063,0.019541581,3825,0.050457516,0.037908497,2386,0.025146689,0,0,0,0,0,5,0.772074377
3603.64,0.02822698,0.5,6085.4,37,0.13255,32.5625,34.3125,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6781,0.049697685,0.019466155,3824,0.048901674,0.03791841,2376,0.022727273,0,0,0,0,0,5,1.021990683
3663.7,0.022720495,0.5,6085.4,37,0.20175,32.5,34.3125,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6781,0.049845156,0.019318685,3834,0.050599896,0.039384455,2383,0.024339068,0,0,0,0,0,5,0.319858486
3723.77,0.025393422,0.5,6085.4,37,0.17795,32.5625,34.375,36.71,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6809,0.049933911,0.019679836,3821,0.050510338,0.039256739,2407,0.02451184,0,0,0,0,0,5,0.637533932
3783.85,0.024795458,0.5,6085.4,37,0.14735,32.5,34.375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6803,0.049683963,0.019550198,3833,0.050091312,0.038872945,2404,0.024542429,0,0,0,0,0,5,0.534168258
3843.92,0.029724273,0.5,6085.4,37,0.12345,32.5,34.375,36.87,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6797,0.049580697,0.01971458,3847,0.050168963,0.039511308,2387,0.022622539,0,0,0,0,0,5,1.051370284
3903.95,0.030186611,0.5,6085.4,37,0.17465,32.4375,34.375,36.87,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6873,0.04975993,0.019642078,3827,0.049647243,0.038411288,2388,0.023450586,0,0,0,0,0,5,1.045105266
3963.99,0.034213783,0.5,6085.4,37,0.15875,32.5,34.375,36.85,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6783,0.050272741,0.019165561,3808,0.050157563,0.039128151,2370,0.024472574,0,0,0,0,0,5,1.368540283
4024.05,0.027231526,0.5,6085.4,37,0.14345,32.5,34.375,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6815,0.049156273,0.019809244,3841,0.049205936,0.039312679,2375,0.024842105,0,0,0,0,0,5,0.615353558
4084.1,0.033914121,0.5,6085.4,37,0.18115,32.5,34.375,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6821,0.049699458,0.019645213,3838,0.050286608,0.039082856,2403,0.022888057,0,0,0,0,0,5,1.242954271
4144.14,0.02939179,0.5,6085.4,37,0.09465,32.5,34.4375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6783,0.050272741,0.019755271,3809,0.050144395,0.039380415,2373,0.024441635,0,0,0,0,0,5,0.751458334
4204.21,0.031618162,0.5,6085.4,37,0.18615,32.5,34.4375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6831,0.049919485,0.019762846,3844,0.04942768,0.038241415,2407,0.024927295,0,0,0,0,0,5,0.932934367
4264.27,0.04118457,0.5,6085.4,37,0.16175,32.5,34.5,36.73,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6779,0.050597433,0.019914442,3807,0.050433412,0.039401103,2376,0.025252525,0,0,0,0,0,5,1.67928357
4324.31,0.032416893,0.5,6085.4,37,0.17675,32.5,34.4375,36.87,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6855,0.049744712,0.019693654,3828,0.049895507,0.039184953,2390,0.025104603,0,0,0,0,0,5,0.877167378
4384.39,0.027868227,0.5,6085.4,37,0.14115,32.5,34.4375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6806,0.049662063,0.019247723,3833,0.050352205,0.03939473,2393,0.024655244,0,0,0,0,0,5,0.379731662
4444.47,0.029869325,0.5,6085.4,37,0.12405,32.4375,34.4375,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6846,0.049371896,0.019427403,3847,0.050168963,0.038211593,2399,0.02417674,0,0,0,0,0,5,0.568779455
4504.54,0.038485476,0.5,6085.4,37,0.11725,32.5625,34.375,36.79,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6818,0.050308008,0.019067175,3815,0.050065531,0.038794233,2387,0.024717218,0,0,0,0,0,5,1.300687181
4564.61,0.037245235,0.5,6085.4,37,0.15255,32.4375,34.4375,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6830,0.050073206,0.019765739,3826,0.049921589,0.038159958,2412,0.024461028,0,0,0,0,0,5,1.137382089
4624.66,0.036581115,0.5,6085.4,37,0.13255,32.5625,34.3125,36.85,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6808,0.049941246,0.019829612,3833,0.050091312,0.037829376,2397,0.023362537,0,0,0,0,0,5,1.026537344
4684.73,0.042006985,0.5,6085.4,37,0.15635,32.5,34.3125,37.03,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6820,0.050146628,0.019794721,3816,0.050052411,0.037997904,2416,0.022764901,0,0,0,0,0,5,1.390121796
4744.81,0.040313692,0.5,6085.4,37,0.11955,32.5625,34.3125,36.77,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6889,0.04978952,0.019596458,3870,0.049870801,0.039276486,2382,0.024349286,0,0,0,0,0,5,1.197181498
4804.87,0.044086999,0.5,6085.4,37,0.15455,32.5,34.25,36.85,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6825,0.04981685,0.0196337,3857,0.050298159,0.039408867,2396,0.024207012,0,0,0,0,0,5,1.405743719
4864.91,0.031921824,0.5,6085.4,37,0.15225,32.5,34.25,36.79,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6883,0.049687636,0.01932297,3872,0.049845041,0.039256198,2415,0.024016563,0,0,0,0,0,5,0.366831479
4924.96,0.040550506,0.5,6085.4,37,0.13635,32.4375,34.25,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6935,0.049315068,0.019178082,3879,0.05001289,0.038927559,2428,0.024711697,0,0,0,0,0,5,1.066264942
4985.03,0.043193067,0.5,6085.4,37,0.16345,32.4375,34.3125,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6871,0.049919953,0.019502256,3850,0.05038961,0.038961039,2386,0.025146689,0,0,0,0,0,5,1.202346877
5045.09,0.043720665,0.5,6085.4,37,0.17875,32.5,34.3125,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,6877,0.049730987,0.019630653,3886,0.0499228,0.039372105,2433,0.025071928,0,0,0,0,0,5,1.178652212
